1,280,2
298,577,2
595,874,1
730,1009,2
1070,1349,2
1369,1648,2
1667,1946,2
1960,2239,1
2112,2391,2
2463,2742,2
2765,3044,2
3056,3335,2
3351,3630,2
3641,3920,2
3927,4206,1
4061,4340,2
4402,4681,2
4688,4967,2
4976,5255,2
5261,5540,1
5414,5693,2
5765,6044,2
6066,6345,2
6356,6635,2
6651,6930,1
6803,7082,2
7147,7426,2
7446,7725,2
7735,8014,2
8014,8293,2
8290,8569,2
8574,8853,2
8860,9139,1
9013,9292,2
9351,9630,2
9637,9916,2
9914,10193,2
10190,10469,1
10342,10621,2
10671,10950,2
10948,11227,2
11223,11502,2
11482,11761,1
11621,11900,2
11948,12227,2
12224,12503,2
12495,12774,1
12637,12916,2
12969,13248,2
13252,13531,2
13531,13810,2
13815,14094,2
14103,14382,1
14256,14535,2
14598,14877,2
14898,15177,2
15199,15478,2
15492,15771,2
15789,16068,2
16087,16366,1
16222,16501,2
16566,16845,2
16866,17145,2
17156,17435,2
17440,17719,2
17724,18003,1
17876,18155,2
18218,18497,2
18512,18791,2
18808,19087,2
19103,19382,2
19390,19669,2
19682,19961,1
19817,20096,2
20159,20438,2
20456,20735,2
20752,21031,2
21043,21322,1
21181,21460,2
21522,21801,2
21821,22100,2
22112,22391,1
22264,22543,2
22623,22902,2
22928,23207,2
23223,23502,2
23522,23801,2
23819,24098,2
24110,24389,1
24264,24543,2
24613,24892,2
24915,25194,2
25208,25487,2
25502,25781,1
25654,25933,2
26001,26280,2
26302,26581,2
26597,26876,2
26886,27165,1
27040,27319,2
27391,27670,2
27691,27970,2
27983,28262,2
28273,28552,2
28565,28844,1
28702,28981,2
29043,29322,2
29342,29621,2
29635,29914,1
29788,30067,2
30135,30414,2
30436,30715,2
30723,31002,2
31013,31292,2
31301,31580,1
31456,31735,2
31805,32084,2
32102,32381,2
32389,32668,2
32677,32956,2
32964,33243,2
33250,33529,1
33404,33683,2
33753,34032,2
34049,34328,2
34345,34624,2
34629,34908,2
34910,35189,2
35188,35467,2
35471,35750,1
35627,35906,2
35984,36263,2
36296,36575,2
36599,36878,2
36897,37176,2
37186,37465,2
37477,37756,2
37766,38045,2
38055,38334,2
38344,38623,2
38632,38911,2
38923,39202,2
39213,39492,2
39500,39779,2
39790,40069,2
40079,40358,1
40215,40494,2
40548,40827,2
40836,41115,2
41123,41402,2
41402,41681,1
41538,41817,2
41874,42153,2
42160,42439,2
42442,42721,1
42595,42874,2
42940,43219,2
43233,43512,2
43529,43808,2
43826,44105,1
43961,44240,2
44308,44587,2
44622,44901,2
44922,45201,2
45218,45497,2
45506,45785,2
45791,46070,1
45926,46205,2
46269,46548,2
46559,46838,2
46847,47126,2
47129,47408,1
47269,47548,2
47607,47886,2
47907,48186,2
48208,48487,2
48499,48778,2
48792,49071,2
49090,49369,2
49382,49661,1
49522,49801,2
49870,50149,2
50163,50442,2
50454,50733,2
50750,51029,1
50885,51164,2
51224,51503,2
51511,51790,2
51803,52082,2
52092,52371,1
52233,52512,2
52565,52844,2
52861,53140,2
53153,53432,2
53435,53714,1
53586,53865,2
53932,54211,2
54218,54497,2
54506,54785,2
54796,55075,1
54934,55213,2
55280,55559,2
55579,55858,2
55867,56146,2
56155,56434,2
56441,56720,1
56576,56855,2
56913,57192,2
57207,57486,2
57497,57776,1
57632,57911,2
57970,58249,2
58264,58543,2
58553,58832,2
58837,59116,1
58972,59251,2
59319,59598,2
59609,59888,2
59894,60173,2
60186,60465,1
60321,60600,2
60663,60942,2
60957,61236,2
61249,61528,2
61538,61817,1
61678,61957,2
62022,62301,2
62323,62602,2
62614,62893,1
62767,63046,2
63112,63391,2
63409,63688,2
63697,63976,1
63832,64111,2
64173,64452,2
64460,64739,2
64746,65025,2
65026,65305,1
65178,65457,2
65523,65802,2
65821,66100,2
66107,66386,2
66396,66675,1
66532,66811,2
66873,67152,2
67167,67446,2
67455,67734,2
67735,68014,1
67872,68151,2
68213,68492,2
68506,68785,2
68793,69072,2
69078,69357,2
69365,69644,2
69646,69925,1
69783,70062,2
70125,70404,2
70415,70694,2
70695,70974,2
70974,71253,2
71258,71537,1
71397,71676,2
71769,72048,2
72076,72355,2
72361,72640,2
72648,72927,2
72935,73214,1
73072,73351,2
73408,73687,2
73707,73986,2
74001,74280,1
74154,74433,2
74503,74782,2
74805,75084,2
75092,75371,1
75229,75508,2
75577,75856,2
75872,76151,2
76162,76441,2
76451,76730,1
76588,76867,2
76942,77221,2
77235,77514,2
77528,77807,2
77813,78092,1
77950,78229,2
78317,78596,2
78602,78881,2
78884,79163,2
79168,79447,1
79303,79582,2
79623,79902,2
79892,80171,2
80170,80449,2
80454,80733,2
80737,81016,2
81019,81298,2
81307,81586,2
81599,81878,2
81886,82165,2
82177,82456,2
82464,82743,2
82746,83025,2
83032,83311,2
83318,83597,2
83605,83884,2
83893,84172,2
84184,84463,2
84466,84745,2
84751,85030,2
85038,85317,2
85324,85603,2
85608,85887,2
85898,86177,2
86192,86471,2
86481,86760,2
86772,87051,2
87063,87342,2
87349,87628,2
87637,87916,2
87922,88201,2
88202,88481,2
88473,88752,2
88754,89033,2
89033,89312,2
89317,89596,2
89605,89884,2
89893,90172,2
90181,90460,2
90468,90747,2
90757,91036,2
91045,91324,2
91328,91607,2
91612,91891,2
91894,92173,2
92179,92458,2
92466,92745,2
92758,93037,2
93049,93328,2
93341,93620,2
93630,93909,2
93916,94195,2
94202,94481,2
94488,94767,2
94768,95047,2
95054,95333,2
95340,95619,2
95622,95901,2
95910,96189,2
96199,96478,2
96486,96765,2
96777,97056,2
97069,97348,2
97356,97635,2
97643,97922,2
97927,98206,2
98211,98490,2
98495,98774,2
98781,99060,2
99060,99339,2
99344,99623,2
99628,99907,2
99911,1.0019e+05,2
1.002e+05,1.0047e+05,2
1.0048e+05,1.0076e+05,2
1.0077e+05,1.0105e+05,2
1.0105e+05,1.0133e+05,2
1.0134e+05,1.0162e+05,2
1.0162e+05,1.019e+05,2
1.019e+05,1.0218e+05,2
1.0217e+05,1.0245e+05,2
1.0244e+05,1.0272e+05,2
1.0271e+05,1.0299e+05,2
1.0298e+05,1.0326e+05,2
1.0325e+05,1.0353e+05,2
1.0352e+05,1.038e+05,2
1.038e+05,1.0408e+05,2
1.0408e+05,1.0436e+05,2
1.0436e+05,1.0464e+05,2
1.0464e+05,1.0492e+05,2
1.0492e+05,1.052e+05,2
1.052e+05,1.0548e+05,2
1.0548e+05,1.0576e+05,2
1.0576e+05,1.0604e+05,2
1.0604e+05,1.0632e+05,2
1.0632e+05,1.066e+05,2
1.066e+05,1.0688e+05,2
1.0688e+05,1.0716e+05,2
1.0716e+05,1.0744e+05,2
1.0745e+05,1.0773e+05,2
1.0773e+05,1.0801e+05,2
1.0801e+05,1.0829e+05,2
1.083e+05,1.0858e+05,2
1.0859e+05,1.0887e+05,2
1.0887e+05,1.0915e+05,2
1.0916e+05,1.0944e+05,2
1.0944e+05,1.0972e+05,2
1.0972e+05,1.0999e+05,2
1.1e+05,1.1027e+05,2
1.1028e+05,1.1056e+05,2
1.1056e+05,1.1084e+05,2
1.1085e+05,1.1113e+05,2
1.1113e+05,1.1141e+05,2
1.1142e+05,1.117e+05,2
1.117e+05,1.1198e+05,2
1.1198e+05,1.1226e+05,2
1.1226e+05,1.1254e+05,2
1.1254e+05,1.1282e+05,2
1.1282e+05,1.131e+05,2
1.131e+05,1.1338e+05,2
1.1338e+05,1.1366e+05,2
1.1365e+05,1.1393e+05,2
1.1393e+05,1.1421e+05,2
1.1421e+05,1.1449e+05,2
1.1449e+05,1.1477e+05,2
1.1477e+05,1.1504e+05,2
1.1504e+05,1.1532e+05,2
1.1532e+05,1.156e+05,2
1.156e+05,1.1587e+05,2
1.1587e+05,1.1615e+05,2
1.1615e+05,1.1642e+05,2
1.1643e+05,1.167e+05,2
1.167e+05,1.1698e+05,2
1.1698e+05,1.1726e+05,2
1.1726e+05,1.1754e+05,2
1.1754e+05,1.1782e+05,2
1.1782e+05,1.181e+05,2
1.181e+05,1.1838e+05,2
1.1838e+05,1.1866e+05,2
1.1866e+05,1.1894e+05,2
1.1894e+05,1.1922e+05,2
1.1921e+05,1.1949e+05,2
1.1949e+05,1.1977e+05,2
1.1977e+05,1.2005e+05,2
1.2005e+05,1.2033e+05,2
1.2034e+05,1.2062e+05,2
1.2062e+05,1.209e+05,2
1.209e+05,1.2118e+05,2
1.2118e+05,1.2146e+05,2
1.2147e+05,1.2175e+05,2
1.2176e+05,1.2203e+05,2
1.2204e+05,1.2232e+05,2
1.2233e+05,1.2261e+05,2
1.2261e+05,1.2289e+05,2
1.229e+05,1.2318e+05,2
1.2319e+05,1.2347e+05,2
1.2348e+05,1.2376e+05,2
1.2376e+05,1.2404e+05,2
1.2405e+05,1.2433e+05,2
1.2433e+05,1.2461e+05,2
1.246e+05,1.2488e+05,2
1.2488e+05,1.2516e+05,2
1.2516e+05,1.2544e+05,2
1.2544e+05,1.2572e+05,2
1.2571e+05,1.2599e+05,2
1.2599e+05,1.2627e+05,2
1.2627e+05,1.2655e+05,2
1.2655e+05,1.2683e+05,2
1.2683e+05,1.2711e+05,2
1.2711e+05,1.2739e+05,2
1.2739e+05,1.2767e+05,2
1.2767e+05,1.2795e+05,2
1.2795e+05,1.2823e+05,2
1.2823e+05,1.2851e+05,2
1.2851e+05,1.2879e+05,2
1.2879e+05,1.2907e+05,2
1.2907e+05,1.2935e+05,2
1.2935e+05,1.2963e+05,2
1.2964e+05,1.2992e+05,2
1.2992e+05,1.302e+05,2
1.302e+05,1.3048e+05,1
1.3034e+05,1.3061e+05,2
1.3067e+05,1.3095e+05,2
1.3095e+05,1.3123e+05,2
1.3123e+05,1.3151e+05,2
1.3152e+05,1.318e+05,2
1.318e+05,1.3208e+05,2
